"","smokes","sex","friends","too_much_alkohol","martial_status","doing_sports","weight","income","goes_to_church","goes_to_cinema","goes_to_restaurant","drugs","law_breaking","job","class","age","education_level","unstable_income","strenuous_work","overloaded_at_work","unfair_work","income_stressful","hedonism"
"14383","0","female","_many","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_no","_no","_no","_yes","_yes"
"14384","1","male","_many","_no","_married","_yes","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"14394","0","female","_small","_no","_single","_yes","obesity","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"14395","0","female","_small","_no","_single","_yes","_overweight","_1st_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_no","_yes","_yes","_yes","_no","_no"
"14438","0","male","_small","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_yes"
"14439","0","female","_small","_no","_married","_no","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"14441","0","male","_many","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"14442","0","female","_medium","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"14482","0","male","_small","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"14484","0","female","_small","_no","_single","_yes","_overweight","_1st_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_Higher","_yes","_no","_no","_no","_yes","_yes"
"14485","0","female","_small","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"14499","0","female","_small","_no","_divorced/separated/widowed","_yes","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_yes","_yes","_no","_no","_no"
"14529","1","male","_medium","_no","_single","_yes","_normal_weight","_3rd_quantile","_no","_no","_yes","_no","_no","_yes"," city 200-500 thou.","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"14537","0","male","_small","_yes","_single","_no","obesity","_1st_quantile","_no","_no","_yes","_no","_no","_no"," city 200-500 thou.","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_no"
"14539","1","male","_small","_no","_single","_no","obesity","_3rd_quantile","_no","_no","_yes","_no","_no","_yes"," city 200-500 thou.","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_no"
"14540","0","female","_many","_no","_divorced/separated/widowed","_yes","_normal_weight","_3rd_quantile","_yes","_yes","_yes","_no","_no","_yes"," city 200-500 thou.","_between_40_60","_Higher","_yes","_yes","_yes","_yes","_yes","_no"
"14546","0","female","_small","_no","_divorced/separated/widowed","_yes","_overweight","_3rd_quantile","_no","_yes","_no","_no","_no","_yes"," city 200-500 thou.","_between_40_60","_Higher","_yes","_yes","_yes","_yes","_yes","_no"
"14563","0","male","_many","_no","_married","_yes","_overweight","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_Higher","_no","_no","_yes","_no","_yes","_yes"
"14564","0","female","_medium","_no","_married","_yes","_normal_weight","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_Higher","_no","_no","_yes","_no","_no","_no"
"14583","0","male","_medium","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Primary","_no","_no","_no","_no","_yes","_yes"
"14584","0","female","_medium","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"14649","0","male","_small","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_yes","_yes","_no","_no","_yes","_no"
"14650","0","male","_many","_no","_single","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_below_40","_Primary","_yes","_yes","_no","_no","_yes","_no"
"14658","0","female","_many","_no","_divorced/separated/widowed","_no","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"14659","0","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_no","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"14673","0","female","_small","_no","_married","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"14674","1","male","_medium","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"14680","0","male","_small","_no","_single","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"14681","1","male","_small","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"14683","0","male","_small","_no","_single","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_no","_no","_no","_yes"
"14684","0","female","_small","_no","_single","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_no","_no","_no","_yes"
"14700","0","male","_small","_no","_married","_yes","_overweight","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," city 200-500 thou.","_between_40_60","_middle","_no","_yes","_no","_yes","_yes","_no"
"14701","0","female","_medium","_no","_married","_yes","_overweight","_2nd_quantile","_yes","_yes","_yes","_no","_no","_yes"," city 200-500 thou.","_between_40_60","_middle","_no","_yes","_yes","_no","_no","_no"
"14704","0","female","_many","_no","_married","_no","_overweight","_2nd_quantile","_no","_yes","_no","_no","_no","_no"," city 200-500 thou.","_above_60","_Higher","_no","_no","_no","_no","_no","_no"
"14727","0","male","_small","_no","_married","_yes","_normal_weight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," city 200-500 thou.","_below_40","_Higher","_no","_no","_no","_no","_no","_no"
"14728","0","female","_small","_no","_married","_yes","_overweight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," city 200-500 thou.","_between_40_60","_Higher","_no","_no","_no","_no","_no","_no"
"14742","0","female","_medium","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_yes","_yes","_no","_no","_yes"," city 200-500 thou.","_above_60","_Higher","_yes","_no","_no","_yes","_yes","_no"
"14766","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 200-500 thou.","_above_60","_middle","_yes","_no","_no","_no","_yes","_no"
"14779","1","male","_many","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," city 200-500 thou.","_between_40_60","_middle","_no","_yes","_yes","_no","_yes","_no"
"14796","1","male","_small","_yes","_married","_yes","_overweight","_4th_quantile","_no","_no","_no","_no","_no","_yes"," city 200-500 thou.","_between_40_60","_middle","_no","_yes","_yes","_yes","_yes","_yes"
"14798","1","female","_many","_no","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_no","_yes","_yes","_no","_no","_yes"," city 200-500 thou.","_below_40","_middle","_no","_yes","_yes","_yes","_yes","_no"
"14799","1","female","_small","_yes","_married","_no","obesity","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," city 200-500 thou.","_between_40_60","_middle","_no","_yes","_yes","_no","_yes","_yes"
"14800","1","female","_small","_no","_single","_no","_normal_weight","_1st_quantile","_no","_no","_no","_yes","_yes","_yes"," city 200-500 thou.","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"14824","0","male","_small","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_yes","_yes","_no","_no","_yes","_yes"
"14855","0","male","_medium","_no","_married","_yes","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"14856","0","male","_small","_no","_single","_yes","_normal_weight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," city less than 20 thou.","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"14857","0","female","_medium","_no","_married","_yes","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"14863","0","male","_small","_no","_married","_no","_normal_weight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_no","_no","_yes","_no","_yes","_no"
"14884","0","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_yes","_no","_no","_no","_yes","_no"
"14920","0","male","_medium","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"14921","0","female","_small","_no","_married","_yes","_overweight","_3rd_quantile","_no","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_no","_yes","_no"
"14933","0","male","_medium","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"14934","0","female","_medium","_no","_single","_no","_overweight","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," village","_between_40_60","_Higher","_no","_no","_no","_yes","_no","_no"
"14935","0","female","_many","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"14943","0","male","_medium","_no","_single","_yes","_normal_weight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_Higher","_no","_no","_yes","_yes","_no","_no"
"14947","0","male","_small","_no","_divorced/separated/widowed","_no","obesity","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"14955","0","male","_small","_yes","_married","_no","_normal_weight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"14956","1","female","_small","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_no","_yes","_no","_yes","_no"
"14959","0","male","_medium","_no","_married","_no","_normal_weight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_no","_no","_no","_no","_yes"
"14960","0","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_no","_yes"
"14965","0","female","_medium","_no","_divorced/separated/widowed","_no","obesity","_2nd_quantile","_yes","_yes","_yes","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"15010","0","female","_small","_no","_married","_yes","_overweight","_4th_quantile","_yes","_no","_yes","_no","_no","_no"," city 100-200 thou.","_between_40_60","_middle","_no","_no","_no","_no","_yes","_no"
"15011","1","male","_many","_yes","_single","_yes","_normal_weight","_4th_quantile","_no","_yes","_yes","_no","_no","_yes"," city 100-200 thou.","_below_40","_Higher","_no","_no","_no","_no","_no","_no"
"15012","0","male","_many","_no","_married","_yes","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," city 100-200 thou.","_above_60","_Higher","_yes","_no","_yes","_no","_yes","_yes"
"15095","0","male","_small","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," city 200-500 thou.","_above_60","_middle","_no","_yes","_yes","_yes","_yes","_yes"
"15108","1","female","_many","_no","_married","_no","_overweight","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city 200-500 thou.","_below_40","_middle","_yes","_no","_no","_no","_yes","_no"
"15109","0","male","_many","_no","_married","_yes","_normal_weight","_2nd_quantile","_no","_no","_yes","_no","_no","_yes"," city 200-500 thou.","_below_40","_middle","_no","_yes","_yes","_no","_yes","_no"
"15114","0","female","_medium","_no","_divorced/separated/widowed","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_no"," city 200-500 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_yes"
"15153","0","female","_small","_no","_single","_yes","_normal_weight","_1st_quantile","_no","_yes","_yes","_no","_no","_yes"," city 100-200 thou.","_below_40","_Higher","_yes","_no","_no","_no","_yes","_yes"
"15155","1","male","_small","_yes","_married","_yes","_normal_weight","_4th_quantile","_no","_no","_no","_no","_no","_no"," city 100-200 thou.","_above_60","_middle","_yes","_no","_no","_no","_yes","_yes"
"15156","1","female","_small","_no","_married","_yes","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city 100-200 thou.","_above_60","_middle","_yes","_no","_no","_no","_yes","_no"
"15157","0","male","_small","_no","_married","_yes","obesity","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_middle","_no","_no","_no","_no","_no","_yes"
"15158","0","female","_small","_yes","_single","_yes","_normal_weight","_4th_quantile","_no","_yes","_yes","_no","_no","_yes"," city 100-200 thou.","_below_40","_Higher","_no","_no","_no","_no","_no","_yes"
"15159","0","female","_medium","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_middle","_no","_no","_no","_no","_no","_yes"
"15204","0","male","_many","_yes","_married","_no","obesity","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," city 200-500 thou.","_between_40_60","_Higher","_no","_yes","_yes","_no","_no","_no"
"15207","1","female","_small","_no","_divorced/separated/widowed","_no","obesity","_1st_quantile","_no","_no","_no","_no","_no","_no"," city 200-500 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"15228","1","male","_many","_no","_married","_no","_overweight","_4th_quantile","_no","_no","_no","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_middle","_yes","_yes","_no","_yes","_yes","_yes"
"15245","1","male","_many","_no","_divorced/separated/widowed","_yes","_overweight","_4th_quantile","_no","_no","_no","_no","_no","_no"," city 100-200 thou.","_between_40_60","_middle","_no","_no","_no","_no","_no","_yes"
"15246","1","female","_small","_no","_single","_no","_normal_weight","_2nd_quantile","_no","_no","_yes","_yes","_no","_yes"," city 100-200 thou.","_below_40","_middle","_no","_yes","_no","_yes","_no","_yes"
"15253","0","male","_many","_no","_married","_yes","obesity","_4th_quantile","_yes","_no","_yes","_no","_no","_no"," city 100-200 thou.","_between_40_60","_middle","_no","_no","_no","_no","_yes","_no"
"15269","0","female","_many","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city 200-500 thou.","_above_60","_middle","_yes","_no","_no","_no","_no","_yes"
"15315","0","female","_small","_no","_married","_yes","_normal_weight","_4th_quantile","_yes","_yes","_yes","_no","_no","_no"," village","_above_60","_Higher","_no","_no","_no","_no","_no","_no"
"15358","0","male","_small","_no","_divorced/separated/widowed","_no","_overweight","_4th_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_yes"
"15377","0","female","_small","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_yes","_no","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_yes","_no","_yes","_no","_yes","_yes"
"15378","1","male","_many","_no","_married","_yes","_normal_weight","_2nd_quantile","_no","_no","_yes","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_yes","_no","_yes","_no","_yes","_no"
"15381","0","female","_small","_no","_single","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_Primary","_no","_no","_no","_no","_no","_yes"
"15464","0","female","_medium","_no","_married","_yes","_normal_weight","_3rd_quantile","_yes","_no","_yes","_no","_no","_no"," city 20-100 thou.","_above_60","_Higher","_no","_no","_no","_no","_no","_no"
"15465","0","male","_medium","_no","_married","_yes","_overweight","_2nd_quantile","_yes","_no","_yes","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"15468","0","female","_medium","_no","_married","_no","obesity","_2nd_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_middle","_no","_no","_no","_no","_yes","_yes"
"15470","0","male","_many","_yes","_married","_no","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_no","_yes"
"15479","0","male","_medium","_no","_married","_yes","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"15480","0","female","_many","_no","_divorced/separated/widowed","_yes","_normal_weight","_2nd_quantile","_yes","_no","_yes","_no","_no","_no"," city 20-100 thou.","_below_40","_middle","_yes","_no","_no","_no","_yes","_yes"
"15496","1","male","_small","_no","_married","_no","_normal_weight","_1st_quantile","_no","_no","_no","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"15541","0","male","_small","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_yes","_yes"
"15618","0","female","_small","_no","_married","_yes","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"15619","0","male","_small","_no","_married","_yes","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_yes","_no","_no","_no","_yes","_no"
"15633","0","female","_many","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_no","_yes"
"15650","1","male","_medium","_yes","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_yes","_yes","_no","_yes","_yes"
"15669","0","male","_many","_no","_married","_yes","_overweight","_4th_quantile","_no","_yes","_yes","_no","_no","_yes"," village","_above_60","_Higher","_yes","_no","_no","_no","_yes","_no"
"15671","0","female","_medium","_no","_married","_no","obesity","_4th_quantile","_no","_no","_no","_no","_no","_yes"," city 200-500 thou.","_between_40_60","_Higher","_yes","_no","_yes","_no","_yes","_no"
"15686","0","male","_medium","_no","_single","_yes","_normal_weight","_4th_quantile","_no","_yes","_yes","_no","_no","_yes"," city 200-500 thou.","_between_40_60","_Higher","_no","_yes","_yes","_no","_no","_yes"
"15687","0","female","_medium","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 200-500 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"15751","0","female","_medium","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"15759","0","male","_many","_no","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_yes","_no","_yes","_yes","_yes","_no"
"15763","1","male","_small","_yes","_single","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"15780","1","male","_many","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"15858","1","female","_small","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"15859","0","female","_medium","_no","_married","_no","_normal_weight","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," village","_below_40","_Higher","_yes","_no","_no","_no","_yes","_yes"
"15870","1","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_no","_no","_yes","_no","_no","_no"," city 100-200 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"15886","1","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_middle","_no","_no","_no","_no","_yes","_yes"
"15887","0","female","_medium","_no","_single","_yes","_normal_weight","_1st_quantile","_no","_yes","_yes","_no","_no","_no"," city 100-200 thou.","_below_40","_middle","_no","_no","_no","_no","_yes","_no"
"15908","1","male","_small","_no","_married","_no","_overweight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_yes","_no","_yes","_yes","_yes","_no"
"15909","0","male","_many","_no","_single","_no","_normal_weight","_1st_quantile","_no","_no","_no","_no","_no","_yes"," city less than 20 thou.","_below_40","_middle","_yes","_yes","_no","_yes","_yes","_yes"
"15912","1","male","_small","_no","_married","_no","_overweight","_1st_quantile","_no","_no","_no","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_middle","_yes","_yes","_no","_no","_yes","_no"
"15944","0","female","_small","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"15948","0","male","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_between_40_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"15955","0","female","_small","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"15990","0","male","_small","_no","_married","_no","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_no"
"16001","1","male","_small","_no","_married","_no","_overweight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_yes","_yes","_yes","_no","_yes","_yes"
"16002","0","female","_small","_no","_married","_no","_overweight","_1st_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_no","_yes","_yes","_no","_yes","_yes"
"16004","0","female","_small","_no","_single","_no","_normal_weight","_2nd_quantile","_no","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"16016","0","male","_small","_no","_married","_yes","_overweight","_3rd_quantile","_yes","_yes","_yes","_no","_no","_yes"," village","_between_40_60","_middle","_no","_yes","_yes","_yes","_yes","_yes"
"16046","0","male","_small","_no","_single","_no","_overweight","_4th_quantile","_no","_no","_no","_no","_no","_yes"," village","_below_40","_Primary","_no","_yes","_no","_no","_no","_no"
"16047","1","female","_small","_no","_married","_no","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_no","_no","_no","_no","_no","_no"
"16048","1","male","_small","_no","_married","_no","_normal_weight","_1st_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_no","_no","_no","_no","_no","_no"
"16144","1","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_4th_quantile","_no","_yes","_yes","_no","_no","_yes"," city more than 500 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_yes"
"16160","1","male","_small","_no","_married","_yes","obesity","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_yes"
"16161","0","female","_small","_no","_married","_no","_normal_weight","_2nd_quantile","_yes","_no","_yes","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_yes"
"16172","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_yes"
"16183","1","male","_small","_yes","_married","_yes","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_middle","_no","_no","_no","_no","_no","_no"
"16184","0","male","_small","_no","_single","_yes","_normal_weight","_2nd_quantile","_no","_yes","_yes","_no","_no","_yes"," city 20-100 thou.","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"16185","1","female","_small","_no","_married","_yes","_overweight","_2nd_quantile","_no","_yes","_no","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"16207","0","female","_medium","_no","_divorced/separated/widowed","_yes","_underweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_yes","_no","_no","_no","_yes","_no"
"16249","0","male","_medium","_no","_married","_no","obesity","_4th_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Higher","_yes","_no","_no","_no","_no","_no"
"16250","0","female","_medium","_no","_single","_yes","_overweight","_1st_quantile","_yes","_no","_yes","_no","_no","_no"," city less than 20 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"16257","0","male","_medium","_no","_single","_no","_overweight","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_below_40","_Higher","_yes","_yes","_yes","_yes","_yes","_yes"
"16258","0","female","_many","_no","_divorced/separated/widowed","_yes","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"16334","0","female","_medium","_no","_divorced/separated/widowed","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_Primary","_no","_no","_no","_no","_yes","_yes"
"16340","1","female","_small","_no","_divorced/separated/widowed","_yes","_normal_weight","_2nd_quantile","_yes","_yes","_no","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_middle","_no","_yes","_yes","_yes","_yes","_yes"
"16345","1","female","_many","_no","_married","_yes","_underweight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_no","_no","_no","_yes","_yes"
"16356","0","male","_many","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_above_60","_middle","_yes","_yes","_yes","_no","_yes","_yes"
"16357","0","female","_small","_no","_married","_yes","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_no","_yes"
"16412","0","male","_small","_no","_married","_no","_overweight","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," village","_between_40_60","_middle","_no","_no","_no","_no","_no","_no"
"16463","1","male","_small","_no","_married","_no","obesity","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_yes"
